test_name,step_index,expected_steps,prompt,planned_element,planned_action_type,planned_selector,execution_action_type,execution_selector,execution_status,execution_success,is_expected_step,selector_attempts,locator_mismatch,skipped_auto,suspected_hallucination
Login_app_with_username_admin_,0,Fill the username field with 'admin',Fill the username field with 'admin',textbox,fill,"getByRole('textbox', {name: 'Username'})",fill,"getByRole('textbox', {name: 'Username'})",success,True,True,1,False,False,False
Login_app_with_username_admin_,1,Fill the password field with 'admin1',Fill the password field with 'admin1',textbox,fill,"getByRole('textbox',{name:'Password'})",fill,"getByRole('textbox',{name:'Password'})",success,True,True,1,False,False,False
Login_app_with_username_admin_,2,Click the 'Login' button,Click the 'Login' button,button,click,locator('form').locator('button.btn'),click,locator('form').locator('button.btn'),success,True,True,1,False,False,False
Login_app_with_username_admin_,3,Click the 'New content' link,Click the 'New content' link,link,click,"getByRole('link', {name: 'New content'})",click,"getByRole('link', {name: 'New content'})",success,True,True,1,False,False,False
Login_app_with_username_admin_,4,Fill the title field with 'How to write thesis',Fill the title field with 'How to write thesis',textbox,fill,"getByRole('textbox', {name:'Enter title'})",fill,"getByRole('textbox', {name:'Enter title'})",success,True,True,1,False,False,False
Login_app_with_username_admin_,5,Fill the content field with 'This is the content of the thesis.',Fill the content field with 'This is the content of the thesis.',frame_body,fill,locator('#jseditor_ifr').contentLocator('body'),fill,locator('#jseditor_ifr').contentLocator('body'),failed,False,True,1,False,False,True
Login_app_with_username_admin_,6,Click the 'Save' button,Fill the content field with 'This is the content of the thesis.',textbox,fill,"getByRole('textbox').filter({has: page.locator('[role=""application""]')})",fill,"getByRole('textbox').filter({has: page.locator('[role=""application""]')})",failed,False,True,2,False,False,True
Login_app_with_username_admin_,7,,Fill the content field with 'This is the content of the thesis.',textbox,fill,"getByRole('textbox', {name:'Rich Text Area'})",fill,"getByRole('textbox', {name:'Rich Text Area'})",failed,False,True,3,False,False,True
Login_app_with_username_admin_,8,,Fill the content field with 'This is the content of the thesis.',frame_body,fill,locator('.tox-edit-area iframe').contentLocator('body'),fill,locator('.tox-edit-area iframe').contentLocator('body'),failed,False,True,4,False,False,True
Login_app_with_username_admin_,9,,Fill the content field with 'This is the content of the thesis.',frame_body,fill,locator('.tox-edit-area').locator('iframe').contentLocator('body'),fill,locator('.tox-edit-area').locator('iframe').contentLocator('body'),failed,False,True,5,False,False,True
Login_app_with_username_admin_,10,,Fill the content field with 'This is the content of the thesis.',element,fill,getByPlaceholder('Enter title'),fill,getByPlaceholder('Enter title'),success,True,True,6,False,False,True
Login_app_with_username_admin_,11,,Click the 'Save' button,button,click,"getByRole('button', {name:'Save'})",click,"getByRole('button', {name:'Save'})",success,True,True,6,False,False,True