test_name,step_index,expected_step,prompt,planned_element,planned_action_type,planned_selector,execution_action_type,execution_selector,execution_status,execution_success,is_expected_step,selector_attempts,locator_mismatch,skipped_auto,suspected_hallucination
"Add_three_todos_('Todo_1',_'To",0,Fill the 'What needs to be done?' input field with 'Todo 1',Fill the 'What needs to be done?' input field with 'Todo 1',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",1,Press Enter to submit the todo,Press Enter to submit the todo,textbox,press_key,"getByRole('textbox', {name: 'What needs to be done?'})",press_key,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",2,Fill the 'What needs to be done?' input field with 'Todo 2',Fill the 'What needs to be done?' input field with 'Todo 2',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",3,Press Enter to submit the todo,Fill the 'What needs to be done?' input field with 'Todo 3',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",4,Fill the 'What needs to be done?' input field with 'Todo 3',Press Enter to submit the todo,textbox,press_key,"getByRole('textbox', {name: 'What needs to be done?'})",press_key,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",5,Press Enter to submit the todo,Check the checkbox next to 'Todo 1' to mark it as completed.,checkbox,check,"getByRole('checkbox', {name: 'Toggle Todo'}).first()",check,"getByRole('checkbox', {name: 'Toggle Todo'}).first()",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",6,Mark 'Todo 1' as completed by clicking its checkbox.,Check the checkbox next to 'Todo 3' to mark it as completed.,checkbox,check,"getByRole('checkbox', {name: 'Toggle Todo'}).nth(1)",check,"getByRole('checkbox', {name: 'Toggle Todo'}).nth(1)",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",7,Mark 'Todo 3' as completed by clicking its checkbox,Click the 'Clear completed' button.,button,click,"getByRole('button', {name: 'Clear completed'})",click,"getByRole('button', {name: 'Clear completed'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",8,Click the 'Clear completed' button,Fill the 'What needs to be done?' input field with 'Todo 2',textbox,fill,"getByRole('textbox', {name: 'What needs to be done?'})",fill,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False
"Add_three_todos_('Todo_1',_'To",9,Click 'Active' filter ,Press Enter to submit the todo,textbox,press_key,"getByRole('textbox', {name: 'What needs to be done?'})",press_key,"getByRole('textbox', {name: 'What needs to be done?'})",success,True,True,1,False,False,False